description,location,start_time,name,start_order,result_order,nat,shooting,total,total_time
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,OEBERG Hanna,34,1,SWE,0+0,0,21:01.4
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,ROEISELAND Marte Olsbu,14,2,NOR,0+0,0,21:25.3
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,KNOTTEN Karoline Offigstad,48,3,NOR,0+0,0,21:39.2
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,SKOTTHEIM Johanna,4,4,SWE,0+0,0,21:46.3
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,BRORSSON Mona,46,5,SWE,0+1,1,21:51.5
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,ALIMBEKAVA Dzinara,36,6,BLR,1+0,1,21:53.9
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,TOMINGAS Tuuli,62,7,EST,0+0,0,21:57.4
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,CHEVALIER Chloe,64,8,FRA,0+0,0,21:57.8
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,HAMMERSCHMIDT Maren,38,9,GER,0+0,0,22:00.1
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,PIDHRUSHNA Olena,44,10,UKR,1+0,1,22:08.8
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,BRAISAZ-BOUCHET Justine,29,11,FRA,0+1,1,22:12.3
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,CHEVALIER-BOUCHET Anais,37,12,FRA,1+1,2,22:12.5
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,HAUSER Lisa Theresa,10,13,AUT,0+1,1,22:15.3
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,KALKENBERG Emilie Aagheim,80,14,NOR,0+0,0,22:16.0
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,KRYUKO Iryna,71,15,BLR,0+0,0,22:16.7
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,MAGNUSSON Anna,103,16,SWE,0+1,1,22:21.9
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,GASPARIN Selina,49,17,SUI,0+1,1,22:23.8
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,MIRONOVA Svetlana,45,18,RUS,1+0,1,22:24.2
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,PERSSON Linn,51,19,SWE,1+0,1,22:26.2
